Date, Close/Last, Volume, Open, High, Low
12/31/2020, $222.42, 20942130, $221.7, $223, $219.68
12/30/2020, $221.68, 20272340, $225.23, $225.63, $221.47
12/29/2020, $224.15, 17403210, $226.31, $227.18, $223.58
12/28/2020, $224.96, 17933500, $224.45, $226.03, $223.02
12/24/2020, $222.75, 10550570, $221.42, $223.61, $221.2
12/23/2020, $221.02, 18699640, $223.11, $223.5589, $220.8
12/22/2020, $223.94, 22643400, $222.69, $225.63, $221.85
12/21/2020, $222.59, 37181890, $217.55, $224, $217.2801
12/18/2020, $218.59, 63354920, $218.59, $219.69, $216.02
12/17/2020, $219.42, 32515780, $219.87, $220.89, $217.92
12/16/2020, $219.28, 35023250, $214.75, $220.11, $214.72
12/15/2020, $214.13, 27018110, $215.165, $215.42, $212.24
12/14/2020, $214.2, 28798380, $213.1, $216.21, $212.88
12/11/2020, $213.26, 30979440, $210.05, $213.32, $209.11
12/10/2020, $210.52, 26467020, $211.77, $213.08, $210.36
12/09/2020, $211.8, 32440600, $215.16, $215.225, $211.214
12/08/2020, $216.01, 23284090, $213.97, $216.95, $212.89
12/07/2020, $214.29, 24620000, $214.37, $215.54, $212.99
12/04/2020, $214.36, 24666040, $214.22, $215.38, $213.18
12/03/2020, $214.24, 25120920, $214.61, $216.3757, $213.65
12/02/2020, $215.37, 23724510, $214.88, $215.47, $212.8
12/01/2020, $216.21, 30931320, $214.51, $217.32, $213.35
11/30/2020, $214.07, 33064750, $214.1, $214.76, $210.835
11/27/2020, $215.23, 14512210, $214.85, $216.27, $214.04
11/25/2020, $213.87, 21012890, $215.11, $215.29, $212.46
11/24/2020, $213.86, 33979730, $209.59, $214.25, $208.86
11/23/2020, $210.11, 25683510, $210.95, $212.29, $208.16
11/20/2020, $210.39, 22843120, $212.2, $213.285, $210
11/19/2020, $212.42, 24792750, $211.38, $213.03, $209.93
11/18/2020, $211.08, 28372790, $213.65, $215.17, $210.93
11/17/2020, $214.46, 24154110, $216.1, $217.68, $214.08
11/16/2020, $217.23, 24953340, $214.87, $217.74, $214.52
11/13/2020, $216.51, 18630310, $216.36, $217.42, $214.16
11/12/2020, $215.44, 21616120, $217.21, $219.11, $214.46
11/11/2020, $216.55, 29440790, $212.39, $218.04, $212.2
11/10/2020, $211.01, 44045120, $214.5, $216.5, $209.72
11/09/2020, $218.39, 44394950, $224.435, $228.12, $217.88
11/06/2020, $223.72, 25231900, $222.26, $224.36, $218.03
11/05/2020, $223.29, 36080140, $222.04, $224.12, $221.15
11/04/2020, $216.39, 42311780, $214.02, $218.32, $212.4185
11/03/2020, $206.43, 27512030, $203.89, $208.12, $203.12
11/02/2020, $202.33, 30842160, $204.29, $205.28, $200.12
10/30/2020, $202.47, 36980110, $203.5, $204.29, $199.62
10/29/2020, $204.72, 31432560, $204.07, $207.36, $203.37
10/28/2020, $202.68, 51195590, $207.67, $208.84, $202.1
10/27/2020, $213.25, 36700330, $211.59, $214.67, $210.329
10/26/2020, $210.08, 37111560, $213.85, $216.3399, $208.1
10/23/2020, $216.23, 18879610, $215.03, $216.28, $213.16
10/22/2020, $214.89, 22351450, $213.93, $216.055, $211.7
